genome,accession,all_accessions
SAMN03200160,['JUFZ01000061'],"['NZ_JUFZ00000000.1', 'NZ_JUFZ01000170.1', 'NZ_JUFZ01000169.1', 'NZ_JUFZ01000168.1', 'NZ_JUFZ01000167.1', 'NZ_JUFZ01000166.1', 'NZ_JUFZ01000165.1', 'NZ_JUFZ01000164.1', 'NZ_JUFZ01000163.1', 'NZ_JUFZ01000162.1', 'NZ_JUFZ01000161.1', 'NZ_JUFZ01000160.1', 'NZ_JUFZ01000159.1', 'NZ_JUFZ01000158.1', 'NZ_JUFZ01000157.1', 'NZ_JUFZ01000156.1', 'NZ_JUFZ01000155.1', 'NZ_JUFZ01000154.1', 'NZ_JUFZ01000153.1', 'NZ_JUFZ01000152.1']"
SAMN02470545,"['AGSO01000011', 'AGSO01000028']","['NZ_AGSO00000000.1', 'NZ_AGSO01000050.1', 'NZ_AGSO01000049.1', 'NZ_AGSO01000048.1', 'NZ_AGSO01000047.1', 'NZ_AGSO01000046.1', 'NZ_AGSO01000045.1', 'NZ_AGSO01000044.1', 'NZ_AGSO01000043.1', 'NZ_AGSO01000042.1', 'NZ_AGSO01000041.1', 'NZ_AGSO01000040.1', 'NZ_AGSO01000039.1', 'NZ_AGSO01000038.1', 'NZ_AGSO01000037.1', 'NZ_AGSO01000036.1', 'NZ_AGSO01000035.1', 'NZ_AGSO01000034.1', 'NZ_AGSO01000033.1', 'NZ_AGSO01000032.1']"
SAMN04115377,['LKDJ01000037'],"['NZ_LKDJ00000000.2', 'NZ_LKDJ02000007.1', 'NZ_LKDJ02000006.1', 'NZ_LKDJ02000005.1', 'NZ_LKDJ02000004.1', 'NZ_LKDJ02000003.1', 'NZ_LKDJ02000002.1', 'NZ_LKDJ02000001.1', 'NZ_CM012324.1', 'NZ_CM012186.1', 'NZ_CM012185.1', 'NZ_CM012184.1', 'NZ_CM012183.1', 'NZ_CM012182.1', 'NZ_LKDJ02000009.1', 'NZ_LKDJ02000008.1', 'CM012324.1', 'LKDJ00000000.2', 'CM012182.1', 'CM012183.1']"
SAMD00020346,['BBTW01000045'],"['NZ_BBTW00000000.1', 'NZ_BBTW01000072.1', 'NZ_BBTW01000071.1', 'NZ_BBTW01000070.1', 'NZ_BBTW01000069.1', 'NZ_BBTW01000068.1', 'NZ_BBTW01000067.1', 'NZ_BBTW01000066.1', 'NZ_BBTW01000065.1', 'NZ_BBTW01000064.1', 'NZ_BBTW01000063.1', 'NZ_BBTW01000062.1', 'NZ_BBTW01000061.1', 'NZ_BBTW01000060.1', 'NZ_BBTW01000059.1', 'NZ_BBTW01000058.1', 'NZ_BBTW01000057.1', 'NZ_BBTW01000056.1', 'NZ_BBTW01000055.1', 'NZ_BBTW01000054.1']"
SAMN03080634,['JRUA01000041'],"['NZ_JRUA00000000.1', 'NZ_JRUA01000052.1', 'NZ_JRUA01000051.1', 'NZ_JRUA01000050.1', 'NZ_JRUA01000049.1', 'NZ_JRUA01000048.1', 'NZ_JRUA01000047.1', 'NZ_JRUA01000046.1', 'NZ_JRUA01000045.1', 'NZ_JRUA01000044.1', 'NZ_JRUA01000043.1', 'NZ_JRUA01000042.1', 'NZ_JRUA01000041.1', 'NZ_JRUA01000040.1', 'NZ_JRUA01000039.1', 'NZ_JRUA01000038.1', 'NZ_JRUA01000037.1', 'NZ_JRUA01000036.1', 'NZ_JRUA01000035.1', 'NZ_JRUA01000034.1']"
SAMN03263968,['CP010368'],"['NZ_CP010903.1', 'NZ_CP010370.2', 'NZ_CP010369.1', 'NZ_CP010368.1', 'CP010903.1', 'CP010370.2', 'CP010369.1', 'CP010368.1']"
SAMN02596993,"['KE340312', 'KE340312', 'KE340312']","['NZ_KE340318.1', 'NZ_KE340317.1', 'NZ_KE340316.1', 'NZ_KE340315.1', 'NZ_KE340314.1', 'NZ_KE340313.1', 'NZ_KE340312.1', 'NZ_KE340311.1', 'NZ_KE340310.1', 'NZ_KE340309.1', 'NZ_ATFP00000000.1', 'KE340309.1', 'KE340310.1', 'KE340311.1', 'KE340312.1', 'KE340313.1', 'KE340314.1', 'KE340315.1', 'KE340316.1', 'KE340317.1']"
SAMN01162077,"['KI669430', 'KI669430']","['NZ_KI669453.1', 'NZ_KI669452.1', 'NZ_KI669451.1', 'NZ_KI669450.1', 'NZ_KI669449.1', 'NZ_KI669448.1', 'NZ_KI669447.1', 'NZ_KI669446.1', 'NZ_KI669445.1', 'NZ_KI669444.1', 'NZ_KI669443.1', 'NZ_KI669442.1', 'NZ_KI669441.1', 'NZ_KI669440.1', 'NZ_KI669439.1', 'NZ_KI669438.1', 'NZ_KI669437.1', 'NZ_KI669436.1', 'NZ_KI669435.1', 'NZ_KI669434.1']"
SAMN01162055,['KI669543'],"['NZ_KI669546.1', 'NZ_KI669545.1', 'NZ_KI669544.1', 'NZ_KI669543.1', 'NZ_KI669542.1', 'NZ_KI669541.1', 'NZ_AZJG00000000.1', 'KI669541.1', 'KI669542.1', 'KI669543.1', 'KI669544.1', 'KI669545.1', 'KI669546.1', 'AZJG00000000.1', 'AZJG01000001.1', 'AZJG01000002.1', 'AZJG01000003.1', 'AZJG01000004.1', 'AZJG01000005.1', 'AZJG01000006.1']"
SAMN01162086,"['KI669414', 'KI669418', 'KI669414']","['NZ_KI669418.1', 'NZ_KI669417.1', 'NZ_KI669416.1', 'NZ_KI669415.1', 'NZ_KI669414.1', 'NZ_AZJF00000000.1', 'KI669414.1', 'KI669415.1', 'KI669416.1', 'KI669417.1', 'KI669418.1', 'AZJF00000000.1', 'AZJF01000001.1', 'AZJF01000002.1', 'AZJF01000003.1', 'AZJF01000004.1', 'AZJF01000005.1', 'AZJF01000006.1', 'AZJF01000007.1', 'AZJF01000008.1']"
SAMN01162081,"['KI669408', 'KI669408', 'KI669412', 'KI669410', 'KI669411', 'KI669409', 'KI669410', 'KI669408', 'KI669408', 'KI669408', 'KI669408', 'KI669407', 'KI669412', 'KI669411', 'KI669409', 'KI669409', 'KI669409']","['NZ_KI669413.1', 'NZ_KI669412.1', 'NZ_KI669411.1', 'NZ_KI669410.1', 'NZ_KI669409.1', 'NZ_KI669408.1', 'NZ_KI669407.1', 'NZ_AZJE00000000.1', 'KI669407.1', 'KI669408.1', 'KI669409.1', 'KI669410.1', 'KI669411.1', 'KI669412.1', 'KI669413.1', 'AZJE00000000.1', 'AZJE01000001.1', 'AZJE01000002.1', 'AZJE01000003.1', 'AZJE01000004.1']"
SAMN02463947,['JH815591'],"['NZ_JH815592.1', 'NZ_JH815591.1', 'NZ_AGWR00000000.1', 'JH815591.1', 'JH815592.1', 'AGWR00000000.1', 'AGWR01000001.1', 'AGWR01000002.1', 'AGWR01000003.1', 'AGWR01000004.1', 'AGWR01000005.1', 'AGWR01000006.1', 'AGWR01000007.1', 'AGWR01000008.1', 'AGWR01000009.1', 'AGWR01000010.1', 'AGWR01000011.1', 'AGWR01000012.1', 'AGWR01000013.1', 'AGWR01000014.1']"
SAMN02463949,['JH823256'],"['NZ_JH823256.1', 'NZ_AGWU00000000.1', 'AGWU00000000.1', 'JH823256.1', 'AGWU01000001.1', 'AGWU01000002.1', 'AGWU01000003.1', 'AGWU01000004.1', 'AGWU01000005.1', 'AGWU01000006.1', 'AGWU01000007.1', 'AGWU01000008.1', 'AGWU01000009.1', 'AGWU01000010.1', 'AGWU01000011.1', 'AGWU01000012.1', 'AGWU01000013.1', 'AGWU01000014.1', 'AGWU01000015.1', 'AGWU01000016.1']"
SAMN02463953,"['JH815493', 'JH815493', 'JH815491']","['NZ_JH815504.1', 'NZ_JH815503.1', 'NZ_JH815502.1', 'NZ_JH815501.1', 'NZ_JH815500.1', 'NZ_JH815499.1', 'NZ_JH815498.1', 'NZ_JH815497.1', 'NZ_JH815496.1', 'NZ_JH815495.1', 'NZ_JH815494.1', 'NZ_JH815493.1', 'NZ_JH815492.1', 'NZ_JH815491.1', 'NZ_AGXR00000000.1', 'AGXR00000000.1', 'JH815491.1', 'JH815492.1', 'JH815493.1', 'JH815494.1']"
SAMN02463954,"['JH815525', 'JH815524', 'JH815525', 'JH815524']","['NZ_JH815532.1', 'NZ_JH815531.1', 'NZ_JH815530.1', 'NZ_JH815529.1', 'NZ_JH815528.1', 'NZ_JH815527.1', 'NZ_JH815526.1', 'NZ_JH815525.1', 'NZ_JH815524.1', 'NZ_ALOB00000000.1', 'ALOB00000000.1', 'JH815524.1', 'JH815525.1', 'JH815526.1', 'JH815527.1', 'JH815528.1', 'JH815529.1', 'JH815530.1', 'JH815531.1', 'JH815532.1']"
SAMN02952930,"['AJKW01000026', 'AJKW01000014']","['NZ_AJKW00000000.1', 'NZ_AJKW01000035.1', 'NZ_AJKW01000034.1', 'NZ_AJKW01000033.1', 'NZ_AJKW01000032.1', 'NZ_AJKW01000031.1', 'NZ_AJKW01000030.1', 'NZ_AJKW01000029.1', 'NZ_AJKW01000028.1', 'NZ_AJKW01000027.1', 'NZ_AJKW01000026.1', 'NZ_AJKW01000025.1', 'NZ_AJKW01000024.1', 'NZ_AJKW01000023.1', 'NZ_AJKW01000022.1', 'NZ_AJKW01000021.1', 'NZ_AJKW01000020.1', 'NZ_AJKW01000019.1', 'NZ_AJKW01000018.1', 'NZ_AJKW01000017.1']"
SAMN02469461,"['AGBU01000058', 'AGBU01000023', 'AGBU01000014']","['NZ_AGBU00000000.1', 'NZ_AGBU01000145.1', 'NZ_AGBU01000144.1', 'NZ_AGBU01000143.1', 'NZ_AGBU01000142.1', 'NZ_AGBU01000141.1', 'NZ_AGBU01000140.1', 'NZ_AGBU01000139.1', 'NZ_AGBU01000138.1', 'NZ_AGBU01000137.1', 'NZ_AGBU01000136.1', 'NZ_AGBU01000135.1', 'NZ_AGBU01000134.1', 'NZ_AGBU01000133.1', 'NZ_AGBU01000132.1', 'NZ_AGBU01000131.1', 'NZ_AGBU01000130.1', 'NZ_AGBU01000129.1', 'NZ_AGBU01000128.1', 'NZ_AGBU01000127.1']"
SAMN02471030,"['AFXX01000045', 'AFXX01000045', 'AFXX01000014']","['NZ_AFXX00000000.1', 'NZ_AFXX01000047.1', 'NZ_AFXX01000046.1', 'NZ_AFXX01000045.1', 'NZ_AFXX01000044.1', 'NZ_AFXX01000043.1', 'NZ_AFXX01000042.1', 'NZ_AFXX01000041.1', 'NZ_AFXX01000040.1', 'NZ_AFXX01000039.1', 'NZ_AFXX01000038.1', 'NZ_AFXX01000037.1', 'NZ_AFXX01000036.1', 'NZ_AFXX01000035.1', 'NZ_AFXX01000034.1', 'NZ_AFXX01000033.1', 'NZ_AFXX01000032.1', 'NZ_AFXX01000031.1', 'NZ_AFXX01000030.1', 'NZ_AFXX01000029.1']"
SAMN02470954,"['AFXE01000171', 'AFXE01000171', 'AFXE01000171']","['NZ_AFXE00000000.1', 'NZ_AFXE01000173.1', 'NZ_AFXE01000172.1', 'NZ_AFXE01000171.1', 'NZ_AFXE01000170.1', 'NZ_AFXE01000169.1', 'NZ_AFXE01000168.1', 'NZ_AFXE01000167.1', 'NZ_AFXE01000166.1', 'NZ_AFXE01000165.1', 'NZ_AFXE01000164.1', 'NZ_AFXE01000163.1', 'NZ_AFXE01000162.1', 'NZ_AFXE01000161.1', 'NZ_AFXE01000160.1', 'NZ_AFXE01000159.1', 'NZ_AFXE01000158.1', 'NZ_AFXE01000157.1', 'NZ_AFXE01000156.1', 'NZ_AFXE01000155.1']"
SAMN02603284,"['CP003022', 'CP003022']","['NC_016808.1', 'CP003022.1']"
SAMN03780057,['ALIU01000010'],"['NZ_ALIU00000000.1', 'NZ_ALIU01000035.1', 'NZ_ALIU01000034.1', 'NZ_ALIU01000033.1', 'NZ_ALIU01000032.1', 'NZ_ALIU01000031.1', 'NZ_ALIU01000030.1', 'NZ_ALIU01000029.1', 'NZ_ALIU01000028.1', 'NZ_ALIU01000027.1', 'NZ_ALIU01000026.1', 'NZ_ALIU01000025.1', 'NZ_ALIU01000024.1', 'NZ_ALIU01000023.1', 'NZ_ALIU01000022.1', 'NZ_ALIU01000021.1', 'NZ_ALIU01000020.1', 'NZ_ALIU01000019.1', 'NZ_ALIU01000018.1', 'NZ_ALIU01000017.1']"
SAMN03780058,"['ALIV01000030', 'ALIV01000007', 'ALIV01000030', 'ALIV01000007']","['NZ_ALIV00000000.1', 'NZ_ALIV01000033.1', 'NZ_ALIV01000032.1', 'NZ_ALIV01000031.1', 'NZ_ALIV01000030.1', 'NZ_ALIV01000029.1', 'NZ_ALIV01000028.1', 'NZ_ALIV01000027.1', 'NZ_ALIV01000026.1', 'NZ_ALIV01000025.1', 'NZ_ALIV01000024.1', 'NZ_ALIV01000023.1', 'NZ_ALIV01000022.1', 'NZ_ALIV01000021.1', 'NZ_ALIV01000020.1', 'NZ_ALIV01000019.1', 'NZ_ALIV01000016.1', 'NZ_ALIV01000015.1', 'NZ_ALIV01000014.1', 'NZ_ALIV01000013.1']"
SAMN03220614,['JTJJ01000119'],"['NZ_JTJJ00000000.1', 'NZ_JTJJ01000213.1', 'NZ_JTJJ01000212.1', 'NZ_JTJJ01000211.1', 'NZ_JTJJ01000210.1', 'NZ_JTJJ01000209.1', 'NZ_JTJJ01000208.1', 'NZ_JTJJ01000207.1', 'NZ_JTJJ01000206.1', 'NZ_JTJJ01000205.1', 'NZ_JTJJ01000204.1', 'NZ_JTJJ01000203.1', 'NZ_JTJJ01000202.1', 'NZ_JTJJ01000201.1', 'NZ_JTJJ01000200.1', 'NZ_JTJJ01000199.1', 'NZ_JTJJ01000198.1', 'NZ_JTJJ01000197.1', 'NZ_JTJJ01000196.1', 'NZ_JTJJ01000195.1']"
SAMN02470209,"['AGDG01000023', 'AGDG01000026', 'AGDG01000023', 'AGDG01000026']","['NZ_AGDG00000000.1', 'NZ_AGDG01000053.1', 'NZ_AGDG01000052.1', 'NZ_AGDG01000051.1', 'NZ_AGDG01000050.1', 'NZ_AGDG01000049.1', 'NZ_AGDG01000048.1', 'NZ_AGDG01000047.1', 'NZ_AGDG01000046.1', 'NZ_AGDG01000045.1', 'NZ_AGDG01000044.1', 'NZ_AGDG01000043.1', 'NZ_AGDG01000042.1', 'NZ_AGDG01000041.1', 'NZ_AGDG01000040.1', 'NZ_AGDG01000039.1', 'NZ_AGDG01000038.1', 'NZ_AGDG01000037.1', 'NZ_AGDG01000036.1', 'NZ_AGDG01000035.1']"
SAMN05444400,"['FNNN01000035', 'FNNN01000035']","['NZ_FNNN00000000.1', 'NZ_FNNN01000076.1', 'NZ_FNNN01000075.1', 'NZ_FNNN01000074.1', 'NZ_FNNN01000073.1', 'NZ_FNNN01000072.1', 'NZ_FNNN01000071.1', 'NZ_FNNN01000070.1', 'NZ_FNNN01000069.1', 'NZ_FNNN01000068.1', 'NZ_FNNN01000067.1', 'NZ_FNNN01000066.1', 'NZ_FNNN01000065.1', 'NZ_FNNN01000064.1', 'NZ_FNNN01000063.1', 'NZ_FNNN01000062.1', 'NZ_FNNN01000061.1', 'NZ_FNNN01000060.1', 'NZ_FNNN01000059.1', 'NZ_FNNN01000058.1']"
SAMN04283922,"['LNVG01000002', 'LNVG01000003']","['NZ_LNVG00000000.1', 'NZ_LNVG01000029.1', 'NZ_LNVG01000028.1', 'NZ_LNVG01000027.1', 'NZ_LNVG01000026.1', 'NZ_LNVG01000025.1', 'NZ_LNVG01000024.1', 'NZ_LNVG01000023.1', 'NZ_LNVG01000022.1', 'NZ_LNVG01000021.1', 'NZ_LNVG01000020.1', 'NZ_LNVG01000019.1', 'NZ_LNVG01000018.1', 'NZ_LNVG01000017.1', 'NZ_LNVG01000016.1', 'NZ_LNVG01000015.1', 'NZ_LNVG01000014.1', 'NZ_LNVG01000013.1', 'NZ_LNVG01000012.1', 'NZ_LNVG01000011.1']"
SAMD00041829,"['BAEI01000026', 'BAEI01000019']","['NZ_BAEI00000000.1', 'NZ_BAEI01000112.1', 'NZ_BAEI01000111.1', 'NZ_BAEI01000110.1', 'NZ_BAEI01000107.1', 'NZ_BAEI01000106.1', 'NZ_BAEI01000105.1', 'NZ_BAEI01000104.1', 'NZ_BAEI01000103.1', 'NZ_BAEI01000102.1', 'NZ_BAEI01000101.1', 'NZ_BAEI01000100.1', 'NZ_BAEI01000098.1', 'NZ_BAEI01000097.1', 'NZ_BAEI01000095.1', 'NZ_BAEI01000094.1', 'NZ_BAEI01000093.1', 'NZ_BAEI01000092.1', 'NZ_BAEI01000091.1', 'NZ_BAEI01000090.1']"
SAMN03383452,"['KQ033905', 'KQ033905']","['NZ_AGES00000000.1', 'NZ_KQ033911.1', 'NZ_KQ033910.1', 'NZ_KQ033909.1', 'NZ_KQ033908.1', 'NZ_KQ033907.1', 'NZ_KQ033906.1', 'NZ_KQ033905.1', 'NZ_KQ033904.1', 'NZ_KQ033903.1', 'NZ_KQ033902.1', 'KQ033902.1', 'KQ033903.1', 'KQ033904.1', 'KQ033905.1', 'KQ033906.1', 'KQ033907.1', 'KQ033908.1', 'KQ033909.1', 'KQ033910.1']"
SAMN02596735,['KB905490'],"['NZ_KB905496.1', 'NZ_KB905495.1', 'NZ_KB905494.1', 'NZ_KB905493.1', 'NZ_KB905492.1', 'NZ_KB905491.1', 'NZ_KB905490.1', 'NZ_KB905489.1', 'NZ_KB905488.1', 'NZ_KB905487.1', 'NZ_AGEU00000000.1', 'KB905487.1', 'KB905488.1', 'KB905489.1', 'KB905490.1', 'KB905491.1', 'KB905492.1', 'KB905493.1', 'KB905494.1', 'KB905495.1']"
SAMN02596736,"['KE150435', 'KE150436', 'KE150435', 'KE150437', 'KE150436']","['KE150435.1', 'KE150436.1', 'KE150437.1', 'KE150438.1', 'KE150439.1', 'KE150440.1', 'AGEV00000000.1', 'AGEV01000001.1', 'AGEV01000002.1', 'AGEV01000003.1', 'AGEV01000004.1', 'AGEV01000005.1', 'AGEV01000006.1', 'AGEV01000007.1', 'AGEV01000008.1', 'AGEV01000009.1', 'AGEV01000010.1', 'AGEV01000011.1', 'AGEV01000012.1', 'AGEV01000013.1']"
SAMN02596737,"['KE150441', 'KE150441', 'KE150441']","['KE150441.1', 'KE150442.1', 'KE150443.1', 'KE150444.1', 'KE150445.1', 'AGEW00000000.1', 'AGEW01000001.1', 'AGEW01000002.1', 'AGEW01000003.1', 'AGEW01000004.1', 'AGEW01000005.1', 'AGEW01000006.1', 'AGEW01000007.1', 'AGEW01000008.1', 'AGEW01000009.1', 'AGEW01000010.1', 'AGEW01000011.1']"
SAMN04363720,['LUTP01000003'],"['NZ_LUTP00000000.1', 'NZ_LUTP01000133.1', 'NZ_LUTP01000132.1', 'NZ_LUTP01000131.1', 'NZ_LUTP01000130.1', 'NZ_LUTP01000129.1', 'NZ_LUTP01000128.1', 'NZ_LUTP01000127.1', 'NZ_LUTP01000126.1', 'NZ_LUTP01000125.1', 'NZ_LUTP01000124.1', 'NZ_LUTP01000123.1', 'NZ_LUTP01000122.1', 'NZ_LUTP01000121.1', 'NZ_LUTP01000120.1', 'NZ_LUTP01000119.1', 'NZ_LUTP01000118.1', 'NZ_LUTP01000117.1', 'NZ_LUTP01000116.1', 'NZ_LUTP01000115.1']"
SAMN04363613,"['LUTN01000004', 'LUTN01000003', 'LUTN01000004']","['NZ_LUTN00000000.1', 'NZ_LUTN01000057.1', 'NZ_LUTN01000056.1', 'NZ_LUTN01000055.1', 'NZ_LUTN01000054.1', 'NZ_LUTN01000053.1', 'NZ_LUTN01000052.1', 'NZ_LUTN01000051.1', 'NZ_LUTN01000050.1', 'NZ_LUTN01000049.1', 'NZ_LUTN01000048.1', 'NZ_LUTN01000047.1', 'NZ_LUTN01000046.1', 'NZ_LUTN01000045.1', 'NZ_LUTN01000044.1', 'NZ_LUTN01000043.1', 'NZ_LUTN01000042.1', 'NZ_LUTN01000041.1', 'NZ_LUTN01000040.1', 'NZ_LUTN01000039.1']"
SAMN04363620,['LUTO01000070'],"['NZ_LUTO00000000.1', 'NZ_LUTO01000145.1', 'NZ_LUTO01000144.1', 'NZ_LUTO01000143.1', 'NZ_LUTO01000142.1', 'NZ_LUTO01000141.1', 'NZ_LUTO01000140.1', 'NZ_LUTO01000139.1', 'NZ_LUTO01000138.1', 'NZ_LUTO01000137.1', 'NZ_LUTO01000136.1', 'NZ_LUTO01000135.1', 'NZ_LUTO01000134.1', 'NZ_LUTO01000133.1', 'NZ_LUTO01000132.1', 'NZ_LUTO01000131.1', 'NZ_LUTO01000130.1', 'NZ_LUTO01000129.1', 'NZ_LUTO01000128.1', 'NZ_LUTO01000127.1']"
SAMN02712572,['JIBP01000011'],"['NZ_JIBP00000000.1', 'NZ_JIBP01000035.1', 'NZ_JIBP01000034.1', 'NZ_JIBP01000033.1', 'NZ_JIBP01000032.1', 'NZ_JIBP01000031.1', 'NZ_JIBP01000030.1', 'NZ_JIBP01000029.1', 'NZ_JIBP01000028.1', 'NZ_JIBP01000027.1', 'NZ_JIBP01000026.1', 'NZ_JIBP01000025.1', 'NZ_JIBP01000024.1', 'NZ_JIBP01000023.1', 'NZ_JIBP01000022.1', 'NZ_JIBP01000021.1', 'NZ_JIBP01000020.1', 'NZ_JIBP01000019.1', 'NZ_JIBP01000018.1', 'NZ_JIBP01000017.1']"
SAMN02596883,['KB976883'],"['KB976864.1', 'KB976865.1', 'KB976866.1', 'KB976867.1', 'KB976868.1', 'KB976869.1', 'KB976870.1', 'KB976871.1', 'KB976872.1', 'KB976873.1', 'KB976874.1', 'KB976875.1', 'KB976876.1', 'KB976877.1', 'KB976878.1', 'KB976879.1', 'KB976880.1', 'KB976881.1', 'KB976882.1', 'KB976883.1']"
SAMN01902473,"['NBRI01000012', 'NBRI01000012']","['NZ_NBRI00000000.1', 'NZ_NBRI01000094.1', 'NZ_NBRI01000093.1', 'NZ_NBRI01000091.1', 'NZ_NBRI01000089.1', 'NZ_NBRI01000088.1', 'NZ_NBRI01000087.1', 'NZ_NBRI01000086.1', 'NZ_NBRI01000085.1', 'NZ_NBRI01000084.1', 'NZ_NBRI01000083.1', 'NZ_NBRI01000082.1', 'NZ_NBRI01000081.1', 'NZ_NBRI01000080.1', 'NZ_NBRI01000079.1', 'NZ_NBRI01000078.1', 'NZ_NBRI01000077.1', 'NZ_NBRI01000076.1', 'NZ_NBRI01000075.1', 'NZ_NBRI01000074.1']"
SAMN02368623,"['MYAS01000006', 'MYAS01000006']","['NZ_MYAS00000000.1', 'NZ_MYAS01000088.1', 'NZ_MYAS01000086.1', 'NZ_MYAS01000083.1', 'NZ_MYAS01000082.1', 'NZ_MYAS01000080.1', 'NZ_MYAS01000079.1', 'NZ_MYAS01000078.1', 'NZ_MYAS01000077.1', 'NZ_MYAS01000075.1', 'NZ_MYAS01000074.1', 'NZ_MYAS01000073.1', 'NZ_MYAS01000072.1', 'NZ_MYAS01000071.1', 'NZ_MYAS01000070.1', 'NZ_MYAS01000069.1', 'NZ_MYAS01000068.1', 'NZ_MYAS01000067.1', 'NZ_MYAS01000066.1', 'NZ_MYAS01000065.1']"
SAMN02368945,['MYTO01000114'],"['NZ_MYTO00000000.1', 'NZ_MYTO01000144.1', 'NZ_MYTO01000142.1', 'NZ_MYTO01000141.1', 'NZ_MYTO01000140.1', 'NZ_MYTO01000139.1', 'NZ_MYTO01000138.1', 'NZ_MYTO01000137.1', 'NZ_MYTO01000136.1', 'NZ_MYTO01000135.1', 'NZ_MYTO01000134.1', 'NZ_MYTO01000133.1', 'NZ_MYTO01000132.1', 'NZ_MYTO01000131.1', 'NZ_MYTO01000130.1', 'NZ_MYTO01000129.1', 'NZ_MYTO01000128.1', 'NZ_MYTO01000127.1', 'NZ_MYTO01000126.1', 'NZ_MYTO01000125.1']"
SAMN02368950,['MYTI01000145'],"['NZ_MYTI00000000.1', 'NZ_MYTI01000205.1', 'NZ_MYTI01000204.1', 'NZ_MYTI01000203.1', 'NZ_MYTI01000202.1', 'NZ_MYTI01000201.1', 'NZ_MYTI01000200.1', 'NZ_MYTI01000199.1', 'NZ_MYTI01000198.1', 'NZ_MYTI01000197.1', 'NZ_MYTI01000196.1', 'NZ_MYTI01000195.1', 'NZ_MYTI01000194.1', 'NZ_MYTI01000193.1', 'NZ_MYTI01000192.1', 'NZ_MYTI01000191.1', 'NZ_MYTI01000190.1', 'NZ_MYTI01000189.1', 'NZ_MYTI01000188.1', 'NZ_MYTI01000187.1']"
SAMN02368971,['MYSK01000064'],"['NZ_MYSK00000000.1', 'NZ_MYSK01000076.1', 'NZ_MYSK01000075.1', 'NZ_MYSK01000074.1', 'NZ_MYSK01000073.1', 'NZ_MYSK01000072.1', 'NZ_MYSK01000071.1', 'NZ_MYSK01000070.1', 'NZ_MYSK01000069.1', 'NZ_MYSK01000068.1', 'NZ_MYSK01000067.1', 'NZ_MYSK01000066.1', 'NZ_MYSK01000065.1', 'NZ_MYSK01000064.1', 'NZ_MYSK01000063.1', 'NZ_MYSK01000062.1', 'NZ_MYSK01000061.1', 'NZ_MYSK01000060.1', 'NZ_MYSK01000059.1', 'NZ_MYSK01000058.1']"
SAMN04394762,"['NABS01000023', 'NABS01000023']","['NZ_NABS00000000.1', 'NZ_NABS01000109.1', 'NZ_NABS01000108.1', 'NZ_NABS01000107.1', 'NZ_NABS01000106.1', 'NZ_NABS01000105.1', 'NZ_NABS01000104.1', 'NZ_NABS01000103.1', 'NZ_NABS01000102.1', 'NZ_NABS01000101.1', 'NZ_NABS01000100.1', 'NZ_NABS01000099.1', 'NZ_NABS01000098.1', 'NZ_NABS01000097.1', 'NZ_NABS01000096.1', 'NZ_NABS01000095.1', 'NZ_NABS01000094.1', 'NZ_NABS01000093.1', 'NZ_NABS01000092.1', 'NZ_NABS01000091.1']"
SAMN02471708,"['AGNS01000032', 'AGNS01000032']","['NZ_AGNS00000000.1', 'NZ_AGNS01000074.1', 'NZ_AGNS01000073.1', 'NZ_AGNS01000072.1', 'NZ_AGNS01000071.1', 'NZ_AGNS01000070.1', 'NZ_AGNS01000069.1', 'NZ_AGNS01000068.1', 'NZ_AGNS01000067.1', 'NZ_AGNS01000066.1', 'NZ_AGNS01000065.1', 'NZ_AGNS01000064.1', 'NZ_AGNS01000063.1', 'NZ_AGNS01000062.1', 'NZ_AGNS01000061.1', 'NZ_AGNS01000060.1', 'NZ_AGNS01000059.1', 'NZ_AGNS01000058.1', 'NZ_AGNS01000057.1', 'NZ_AGNS01000056.1']"
SAMN03002180,"['CP009291', 'CP009291', 'CP009291', 'CP009291', 'CP009291']","['NZ_CP009296.1', 'NZ_CP009295.1', 'NZ_CP009294.1', 'NZ_CP009293.1', 'NZ_CP009292.1', 'NZ_CP009291.1', 'CP009296.1', 'CP009295.1', 'CP009294.1', 'CP009293.1', 'CP009292.1', 'CP009291.1']"
SAMN03154071,['JSXD01000053'],"['NZ_JSXD00000000.1', 'NZ_JSXD01000138.1', 'NZ_JSXD01000137.1', 'NZ_JSXD01000135.1', 'NZ_JSXD01000134.1', 'NZ_JSXD01000133.1', 'NZ_JSXD01000132.1', 'NZ_JSXD01000131.1', 'NZ_JSXD01000130.1', 'NZ_JSXD01000129.1', 'NZ_JSXD01000128.1', 'NZ_JSXD01000127.1', 'NZ_JSXD01000126.1', 'NZ_JSXD01000125.1', 'NZ_JSXD01000124.1', 'NZ_JSXD01000123.1', 'NZ_JSXD01000122.1', 'NZ_JSXD01000121.1', 'NZ_JSXD01000120.1', 'NZ_JSXD01000119.1']"
SAMN03266539,['JWMJ01000023'],"['NZ_CP104920.1', 'CP104920.1']"
